"input" "reason" "matches" "symbol" "organism.shortName" "name" "length" "secondaryIdentifier" "primaryIdentifier" "class"
"YOR386W" "MATCH" "1" "PHR1" "S. cerevisiae" "PHotoreactivation Repair deficient" "1698" "YOR386W" "S000005913" "ORF"
"YOR253W" "MATCH" "1" "NAT5" "S. cerevisiae" "N-terminal AcetylTransferase" "531" "YOR253W" "S000005779" "ORF"
"YKR094C" "MATCH" "1" "RPL40B" "S. cerevisiae" "Ribosomal Protein of the Large subunit" "755" "YKR094C" "S000001802" "ORF"
"YOR387C" "MATCH" "1" "" "S. cerevisiae" "" "621" "YOR387C" "S000005914" "ORF"
"YOR254C" "MATCH" "1" "SEC63" "S. cerevisiae" "SECretory" "1992" "YOR254C" "S000005780" "ORF"
"YGR033C" "MATCH" "1" "TIM21" "S. cerevisiae" "Translocase of the Inner Mitochondrial membrane" "720" "YGR033C" "S000003265" "ORF"
"YGL241W" "MATCH" "1" "KAP114" "S. cerevisiae" "KAryoPherin" "3015" "YGL241W" "S000003210" "ORF"
"YDR428C" "MATCH" "1" "BNA7" "S. cerevisiae" "Biosynthesis of NAD" "786" "YDR428C" "S000002836" "ORF"
"YGR162W" "MATCH" "1" "TIF4631" "S. cerevisiae" "Translation Initiation Factor" "2859" "YGR162W" "S000003394" "ORF"
"YLR166C" "MATCH" "1" "SEC10" "S. cerevisiae" "SECretory" "2616" "YLR166C" "S000004156" "ORF"
"YMR212C" "MATCH" "1" "EFR3" "S. cerevisiae" "PHO Eighty Five Requiring" "2349" "YMR212C" "S000004825" "ORF"
"YGL116W" "MATCH" "1" "CDC20" "S. cerevisiae" "Cell Division Cycle" "1833" "YGL116W" "S000003084" "ORF"
"YGL249W" "MATCH" "1" "ZIP2" "S. cerevisiae" "ZIPping up meiotic chromosomes" "2115" "YGL249W" "S000003218" "ORF"
"YMR211W" "MATCH" "1" "DML1" "S. cerevisiae" "Drosophila melanogaster Misato-Like protein" "1428" "YMR211W" "S000004824" "ORF"
"YFL062W" "MATCH" "1" "COS4" "S. cerevisiae" "COnserved Sequence" "1140" "YFL062W" "S000001832" "ORF"
"YNR050C" "MATCH" "1" "LYS9" "S. cerevisiae" "LYSine requiring" "1341" "YNR050C" "S000005333" "ORF"
"YIL013C" "MATCH" "1" "PDR11" "S. cerevisiae" "Pleiotropic Drug Resistance" "4236" "YIL013C" "S000001275" "ORF"
"YIL146C" "MATCH" "1" "ATG32" "S. cerevisiae" "AuTophaGy related" "1590" "YIL146C" "S000001408" "ORF"
"YKL041W" "MATCH" "1" "VPS24" "S. cerevisiae" "Vacuolar Protein Sorting" "675" "YKL041W" "S000001524" "ORF"
"YNL137C" "MATCH" "1" "NAM9" "S. cerevisiae" "Nuclear Accommodation of Mitochondria" "1461" "YNL137C" "S000005081" "ORF"
"YPL166W" "MATCH" "1" "ATG29" "S. cerevisiae" "AuTophaGy related" "642" "YPL166W" "S000006087" "ORF"
"YER012W" "MATCH" "1" "PRE1" "S. cerevisiae" "PRoteinase yscE" "597" "YER012W" "S000000814" "ORF"
"YLR410W-B" "MATCH" "1" "" "S. cerevisiae" "" "" "YLR410W-B" "S000007380" "TransposableElementGene"
"YML082W" "MATCH" "1" "" "S. cerevisiae" "" "1950" "YML082W" "S000004547" "ORF"
"YNL004W" "MATCH" "1" "HRB1" "S. cerevisiae" "Hypothetical RNA-Binding protein" "1707" "YNL004W" "S000004949" "ORF"
"YBR171W" "MATCH" "1" "SEC66" "S. cerevisiae" "SECretory" "621" "YBR171W" "S000000375" "ORF"
"YLR032W" "MATCH" "1" "RAD5" "S. cerevisiae" "RADiation sensitive" "3510" "YLR032W" "S000004022" "ORF"
"YDR427W" "MATCH" "1" "RPN9" "S. cerevisiae" "Regulatory Particle Non-ATPase" "1182" "YDR427W" "S000002835" "ORF"
"YGR030C" "MATCH" "1" "POP6" "S. cerevisiae" "Processing Of Precursor RNAs" "477" "YGR030C" "S000003262" "ORF"
"YHR100C" "MATCH" "1" "GEP4" "S. cerevisiae" "GEnetic interactors of Prohibitins" "558" "YHR100C" "S000001142" "ORF"
"YGL115W" "MATCH" "1" "SNF4" "S. cerevisiae" "Sucrose NonFermenting" "969" "YGL115W" "S000003083" "ORF"
"YJR004C" "MATCH" "1" "SAG1" "S. cerevisiae" "Sexual AGglutination" "1953" "YJR004C" "S000003764" "ORF"
"YOR128C" "MATCH" "1" "ADE2" "S. cerevisiae" "ADEnine requiring" "1716" "YOR128C" "S000005654" "ORF"
"YGR163W" "MATCH" "1" "GTR2" "S. cerevisiae" "GTp binding protein Resemblance" "1026" "YGR163W" "S000003395" "ORF"
"YIL144W" "MATCH" "1" "NDC80" "S. cerevisiae" "Nuclear Division Cycle" "2076" "YIL144W" "S000001406" "ORF"
"YKL176C" "MATCH" "1" "LST4" "S. cerevisiae" "Lethal with Sec Thirteen" "2487" "YKL176C" "S000001659" "ORF"
"YGR296W" "MATCH" "1" "YRF1-3" "S. cerevisiae" "" "5728" "YGR296W" "S000003528" "ORF"
"YIL011W" "MATCH" "1" "TIR3" "S. cerevisiae" "TIp1-Related" "810" "YIL011W" "S000001273" "ORF"
"YLR034C" "MATCH" "1" "SMF3" "S. cerevisiae" "" "1422" "YLR034C" "S000004024" "ORF"
"YBR172C" "MATCH" "1" "SMY2" "S. cerevisiae" "Suppressor of MYo2-66" "2223" "YBR172C" "S000000376" "ORF"
"YKL042W" "MATCH" "1" "SPC42" "S. cerevisiae" "Spindle Pole Component" "1092" "YKL042W" "S000001525" "ORF"
"YPL034W" "MATCH" "1" "" "S. cerevisiae" "" "498" "YPL034W" "S000005955" "ORF"
"YOR127W" "MATCH" "1" "RGA1" "S. cerevisiae" "Rho GTPase Activating Protein" "3024" "YOR127W" "S000005653" "ORF"
"YJR002W" "MATCH" "1" "MPP10" "S. cerevisiae" "M Phase Phosphoproteins" "1782" "YJR002W" "S000003762" "ORF"
"YNL003C" "MATCH" "1" "PET8" "S. cerevisiae" "PETite colonies" "855" "YNL003C" "S000004948" "ORF"
"YKL175W" "MATCH" "1" "ZRT3" "S. cerevisiae" "Zinc-Regulated Transporter" "1512" "YKL175W" "S000001658" "ORF"
"YER011W" "MATCH" "1" "TIR1" "S. cerevisiae" "TIp1-Related" "765" "YER011W" "S000000813" "ORF"
"YIL145C" "MATCH" "1" "PAN6" "S. cerevisiae" "PANtothenate biosynthesis" "930" "YIL145C" "S000001407" "ORF"
"YNL136W" "MATCH" "1" "EAF7" "S. cerevisiae" "Esa1-Associated Factor" "1278" "YNL136W" "S000005080" "ORF"
"YLR299W" "MATCH" "1" "ECM38" "S. cerevisiae" "ExtraCellular Mutant" "1983" "YLR299W" "S000004290" "ORF"
"YPL167C" "MATCH" "1" "REV3" "S. cerevisiae" "REVersionless" "4515" "YPL167C" "S000006088" "ORF"
"YDL154W" "MATCH" "1" "MSH5" "S. cerevisiae" "MutS Homolog" "2706" "YDL154W" "S000002313" "ORF"
"YLR033W" "MATCH" "1" "RSC58" "S. cerevisiae" "Remodel the Structure of Chromatin" "1509" "YLR033W" "S000004023" "ORF"
"YER145C" "MATCH" "1" "FTR1" "S. cerevisiae" "Fe TRansporter" "1215" "YER145C" "S000000947" "ORF"
"YGL114W" "MATCH" "1" "" "S. cerevisiae" "" "2178" "YGL114W" "S000003082" "ORF"
"YGL247W" "MATCH" "1" "BRR6" "S. cerevisiae" "Bad Response to Refrigeration" "594" "YGL247W" "S000003216" "ORF"
"YJR003C" "MATCH" "1" "MRX12" "S. cerevisiae" "Mitochondrial oRganization of gene eXpression (MIOREX)" "1560" "YJR003C" "S000003763" "ORF"
"YBR173C" "MATCH" "1" "UMP1" "S. cerevisiae" "Ubiquitin-Mediated Proteolysis" "447" "YBR173C" "S000000377" "ORF"
"YJR136C" "MATCH" "1" "TTI2" "S. cerevisiae" "Two Tel2-Interacting protein" "1266" "YJR136C" "S000003897" "ORF"
"YNL002C" "MATCH" "1" "RLP7" "S. cerevisiae" "Ribosomal-Like Protein" "969" "YNL002C" "S000004947" "ORF"
"YIL010W" "MATCH" "1" "DOT5" "S. cerevisiae" "Disruptor Of Telomeric silencing" "648" "YIL010W" "S000001272" "ORF"
"YKL172W" "MATCH" "1" "EBP2" "S. cerevisiae" "EBNA1-binding protein (homolog)" "1284" "YKL172W" "S000001655" "ORF"
"YMR213W" "MATCH" "1" "CEF1" "S. cerevisiae" "CErevisiae homolog of cdc Five" "1773" "YMR213W" "S000004826" "ORF"
"YJR001W" "MATCH" "1" "AVT1" "S. cerevisiae" "Amino acid Vacuolar Transport" "1809" "YJR001W" "S000003761" "ORF"
"YJL217W" "MATCH" "1" "REE1" "S. cerevisiae" "REgulation of Enolase" "597" "YJL217W" "S000003753" "ORF"
"YNR052C" "MATCH" "1" "POP2" "S. cerevisiae" "PGK promoter directed OverProduction" "1302" "YNR052C" "S000005335" "ORF"
"YNL135C" "MATCH" "1" "FPR1" "S. cerevisiae" "Fk 506-sensitive Proline Rotamase" "345" "YNL135C" "S000005079" "ORF"
"YER143W" "MATCH" "1" "DDI1" "S. cerevisiae" "DNA Damage Inducible" "1287" "YER143W" "S000000945" "ORF"
"YKR090W" "MATCH" "1" "PXL1" "S. cerevisiae" "PaXillin-Like protein" "2121" "YKR090W" "S000001798" "ORF"
"YNL268W" "MATCH" "1" "LYP1" "S. cerevisiae" "LYsine-specific Permease" "1836" "YNL268W" "S000005212" "ORF"
"YGR161C" "MATCH" "1" "RTS3" "S. cerevisiae" "" "792" "YGR161C" "S000003393" "ORF"
"YPL031C" "MATCH" "1" "PHO85" "S. cerevisiae" "PHOsphate metabolism" "1020" "YPL031C" "S000005952" "ORF"
"YJR135C" "MATCH" "1" "MCM22" "S. cerevisiae" "MiniChromosome Maintenance" "720" "YJR135C" "S000003896" "ORF"
"YKL040C" "MATCH" "1" "NFU1" "S. cerevisiae" "NifU-like protein" "771" "YKL040C" "S000001523" "ORF"
"YGL113W" "MATCH" "1" "SLD3" "S. cerevisiae" "Synthetically Lethal with Dpb11-1" "2007" "YGL113W" "S000003081" "ORF"
"YML085C" "MATCH" "1" "TUB1" "S. cerevisiae" "TUBulin" "1460" "YML085C" "S000004550" "ORF"
"YER144C" "MATCH" "1" "UBP5" "S. cerevisiae" "UBiquitin-specific Protease" "2418" "YER144C" "S000000946" "ORF"
"YLR030W" "MATCH" "1" "" "S. cerevisiae" "" "792" "YLR030W" "S000004020" "ORF"
"YPR082C" "MATCH" "1" "DIB1" "S. cerevisiae" "S. pombe DIm1+ in Budding yeast" "432" "YPR082C" "S000006286" "ORF"
"YOR259C" "MATCH" "1" "RPT4" "S. cerevisiae" "Regulatory Particle Triple-A protein, or Regulatory Particle Triphosphatase" "1314" "YOR259C" "S000005785" "ORF"
"YPL164C" "MATCH" "1" "MLH3" "S. cerevisiae" "MutL Homolog" "2148" "YPL164C" "S000006085" "ORF"
"YNL134C" "MATCH" "1" "" "S. cerevisiae" "" "1131" "YNL134C" "S000005078" "ORF"
"YPR080W" "MATCH" "1" "TEF1" "S. cerevisiae" "Translation Elongation Factor" "1377" "YPR080W" "S000006284" "ORF"
"YKL174C" "MATCH" "1" "TPO5" "S. cerevisiae" "Transporter of POlyamines" "1857" "YKL174C" "S000001657" "ORF"
"YGR294W" "MATCH" "1" "PAU12" "S. cerevisiae" "seriPAUperin" "363" "YGR294W" "S000003526" "ORF"
"YHR102W" "MATCH" "1" "KIC1" "S. cerevisiae" "Kinase that Interacts with Cdc31p" "3243" "YHR102W" "S000001144" "ORF"
"YIL142W" "MATCH" "1" "CCT2" "S. cerevisiae" "Chaperonin Containing TCP-1" "1584" "YIL142W" "S000001404" "ORF"
"YLR298C" "MATCH" "1" "YHC1" "S. cerevisiae" "Yeast Homolog of human U1C" "696" "YLR298C" "S000004289" "ORF"
"YBR170C" "MATCH" "1" "NPL4" "S. cerevisiae" "Nuclear Protein Localization" "1743" "YBR170C" "S000000374" "ORF"
"YKL173W" "MATCH" "1" "SNU114" "S. cerevisiae" "Small NUclear ribonucleoprotein associated" "3027" "YKL173W" "S000001656" "ORF"
"YMR214W" "MATCH" "1" "SCJ1" "S. cerevisiae" "S. Cerevisiae DnaJ" "1134" "YMR214W" "S000004827" "ORF"
"YNR051C" "MATCH" "1" "BRE5" "S. cerevisiae" "BREfeldin A sensitivity" "1548" "YNR051C" "S000005334" "ORF"
"YOR258W" "MATCH" "1" "HNT3" "S. cerevisiae" "Histidine triad NucleoTide-binding" "654" "YOR258W" "S000005784" "ORF"
"YJR133W" "MATCH" "1" "XPT1" "S. cerevisiae" "Xanthine Phosphoribosyl Transferase" "630" "YJR133W" "S000003894" "ORF"
"YIL143C" "MATCH" "1" "SSL2" "S. cerevisiae" "Suppressor of Stem-Loop mutation" "2532" "YIL143C" "S000001405" "ORF"
"YJL218W" "MATCH" "1" "" "S. cerevisiae" "" "591" "YJL218W" "S000003754" "ORF"
"YDL153C" "MATCH" "1" "SAS10" "S. cerevisiae" "Something About Silencing" "1833" "YDL153C" "S000002312" "ORF"
"YDL020C" "MATCH" "1" "RPN4" "S. cerevisiae" "Regulatory Particle Non-ATPase" "1596" "YDL020C" "S000002178" "ORF"
"YLR297W" "MATCH" "1" "" "S. cerevisiae" "" "390" "YLR297W" "S000004288" "ORF"
"YNL267W" "MATCH" "1" "PIK1" "S. cerevisiae" "Phosphatidyl Inositol Kinase" "3201" "YNL267W" "S000005211" "ORF"
"YLR164W" "MATCH" "1" "SHH4" "S. cerevisiae" "SDH4 Homolog" "507" "YLR164W" "S000004154" "ORF"
"YGR295C" "MATCH" "1" "COS6" "S. cerevisiae" "COnserved Sequence" "1146" "YGR295C" "S000003527" "ORF"
"YGL246C" "MATCH" "1" "RAI1" "S. cerevisiae" "Rat1p Interacting Protein" "1164" "YGL246C" "S000003215" "ORF"
"YMR215W" "MATCH" "1" "GAS3" "S. cerevisiae" "Glycophospholipid-Anchored Surface protein" "1575" "YMR215W" "S000004828" "ORF"
"YNL001W" "MATCH" "1" "DOM34" "S. cerevisiae" "Duplication Of Multilocus region" "1161" "YNL001W" "S000004946" "ORF"
"YJR134C" "MATCH" "1" "SGM1" "S. cerevisiae" "Slow growth on Galactose and Mannose" "2124" "YJR134C" "S000003895" "ORF"
"YER010C" "MATCH" "1" "" "S. cerevisiae" "" "705" "YER010C" "S000000812" "ORF"
"YPL032C" "MATCH" "1" "SVL3" "S. cerevisiae" "Styryl dye Vacuolar Localization" "2478" "YPL032C" "S000005953" "ORF"
"YGL245W" "MATCH" "1" "GUS1" "S. cerevisiae" "GlUtamyl-tRNA Synthetase" "2127" "YGL245W" "S000003214" "ORF"
"YLR031W" "MATCH" "1" "" "S. cerevisiae" "" "561" "YLR031W" "S000004021" "ORF"
"YPR081C" "MATCH" "1" "GRS2" "S. cerevisiae" "Glycyl-tRNA Synthase" "1857" "YPR081C" "S000006285" "ORF"
"YOR125C" "MATCH" "1" "CAT5" "S. cerevisiae" "CATabolite repression" "702" "YOR125C" "S000005651" "ORF"
"YDR429C" "MATCH" "1" "TIF35" "S. cerevisiae" "Translation Initiation Factor" "825" "YDR429C" "S000002837" "ORF"
"YMR216C" "MATCH" "1" "SKY1" "S. cerevisiae" "SRPK1-like Kinase in Yeast" "2229" "YMR216C" "S000004829" "ORF"
"YPL215W" "MATCH" "1" "CBP3" "S. cerevisiae" "Cytochrome B mRNA Processing" "1008" "YPL215W" "S000006136" "ORF"
"YPR004C" "MATCH" "1" "AIM45" "S. cerevisiae" "Altered Inheritance rate of Mitochondria" "1035" "YPR004C" "S000006208" "ORF"
"YDR079W" "MATCH" "1" "PET100" "S. cerevisiae" "PETite colonies" "336" "YDR079W" "S000002486" "ORF"
"YKL179C" "MATCH" "1" "COY1" "S. cerevisiae" "CASP Of Yeast" "2040" "YKL179C" "S000001662" "ORF"
"YDL025C" "MATCH" "1" "RTK1" "S. cerevisiae" "Ribosome biogenesis and TRNA synthetase-associated Kinase" "1863" "YDL025C" "S000002183" "ORF"
"YER004W" "MATCH" "1" "FMP52" "S. cerevisiae" "Found in Mitochondrial Proteome" "696" "YER004W" "S000000806" "ORF"
"YKL045W" "MATCH" "1" "PRI2" "S. cerevisiae" "DNA PRImase" "1587" "YKL045W" "S000001528" "ORF"
"YBR228W" "MATCH" "1" "SLX1" "S. cerevisiae" "Synthetic Lethal of unknown (X) function" "915" "YBR228W" "S000000432" "ORF"
"YBL080C" "MATCH" "1" "PET112" "S. cerevisiae" "PETite colonies" "1626" "YBL080C" "S000000176" "ORF"
"YER138C" "MATCH" "1" "" "S. cerevisiae" "" "" "YER138C" "S000000940" "TransposableElementGene"
"YOR078W" "MATCH" "1" "BUD21" "S. cerevisiae" "BUD site selection" "645" "YOR078W" "S000005604" "ORF"
"YGR171C" "MATCH" "1" "MSM1" "S. cerevisiae" "Mitochondrial aminoacyl-tRNA Synthetase, Methionine" "1728" "YGR171C" "S000003403" "ORF"
"YOR381W" "MATCH" "1" "FRE3" "S. cerevisiae" "Ferric REductase" "2136" "YOR381W" "S000005908" "ORF"
"YDR383C" "MATCH" "1" "NKP1" "S. cerevisiae" "Non-essential Kinetochore Protein" "717" "YDR383C" "S000002791" "ORF"
"YPR137W" "MATCH" "1" "RRP9" "S. cerevisiae" "Ribosomal RNA Processing" "1722" "YPR137W" "S000006341" "ORF"
"YBR229C" "MATCH" "1" "ROT2" "S. cerevisiae" "Reversal Of Tor2 lethality" "2865" "YBR229C" "S000000433" "ORF"
"YJR080C" "MATCH" "1" "AIM24" "S. cerevisiae" "Altered Inheritance rate of Mitochondria" "1185" "YJR080C" "S000003841" "ORF"
"YLR158C" "MATCH" "1" "ASP3-3" "S. cerevisiae" "ASParaginase" "1089" "YLR158C" "S000004148" "ORF"
"YGR170W" "MATCH" "1" "PSD2" "S. cerevisiae" "PhosphatidylSerine Decarboxylase" "3417" "YGR170W" "S000003402" "ORF"
"YOR079C" "MATCH" "1" "ATX2" "S. cerevisiae" "AnTioXidant" "942" "YOR079C" "S000005605" "ORF"
"YDR382W" "MATCH" "1" "RPP2B" "S. cerevisiae" "Ribosomal Protein P2 Beta" "333" "YDR382W" "S000002790" "ORF"
"YNL099C" "MATCH" "1" "OCA1" "S. cerevisiae" "Oxidant-induced Cell-cycle Arrest" "717" "YNL099C" "S000005043" "ORF"
"YHL003C" "MATCH" "1" "LAG1" "S. cerevisiae" "Longevity Assurance Gene" "1236" "YHL003C" "S000000995" "ORF"
"YPL216W" "MATCH" "1" "" "S. cerevisiae" "" "3309" "YPL216W" "S000006137" "ORF"
"YPR003C" "MATCH" "1" "" "S. cerevisiae" "" "2265" "YPR003C" "S000006207" "ORF"
"YOL025W" "MATCH" "1" "LAG2" "S. cerevisiae" "Longevity Assurance Gene" "1983" "YOL025W" "S000005385" "ORF"
"YKR099W" "MATCH" "1" "BAS1" "S. cerevisiae" "BASal" "2436" "YKR099W" "S000001807" "ORF"
"YHR059W" "MATCH" "1" "FYV4" "S. cerevisiae" "Function required for Yeast Viability" "393" "YHR059W" "S000001101" "ORF"
"YPR002W" "MATCH" "1" "PDH1" "S. cerevisiae" "prpD Homolog" "1551" "YPR002W" "S000006206" "ORF"
"YGL078C" "MATCH" "1" "DBP3" "S. cerevisiae" "Dead Box Protein" "1572" "YGL078C" "S000003046" "ORF"
"YER136W" "MATCH" "1" "GDI1" "S. cerevisiae" "GDP Dissociation Inhibitor" "1356" "YER136W" "S000000938" "ORF"
"YHL002W" "MATCH" "1" "HSE1" "S. cerevisiae" "Has Symptoms of class E mutants; resembles Hbp, Stam and East" "1359" "YHL002W" "S000000994" "ORF"
"YLR461W" "MATCH" "1" "PAU4" "S. cerevisiae" "seriPAUperin family" "363" "YLR461W" "S000004453" "ORF"
"YKL047W" "MATCH" "1" "ANR2" "S. cerevisiae" "Avl Nine Related family 2" "1551" "YKL047W" "S000001530" "ORF"
"YLR025W" "MATCH" "1" "SNF7" "S. cerevisiae" "Sucrose NonFermenting" "723" "YLR025W" "S000004015" "ORF"
"YGR172C" "MATCH" "1" "YIP1" "S. cerevisiae" "Ypt-Interacting Protein" "747" "YGR172C" "S000003404" "ORF"
"YMR217W" "MATCH" "1" "GUA1" "S. cerevisiae" "GUanine Auxotroph" "1578" "YMR217W" "S000004830" "ORF"
"YER137C" "MATCH" "1" "" "S. cerevisiae" "" "447" "YER137C" "S000000939" "ORF"
"YLR026C" "MATCH" "1" "SED5" "S. cerevisiae" "Suppressor of Erd2 Deletion" "1023" "YLR026C" "S000004016" "ORF"
"YFL060C" "MATCH" "1" "SNO3" "S. cerevisiae" "SNZ proximal Open reading frame" "669" "YFL060C" "S000001834" "ORF"
"YOR380W" "MATCH" "1" "RDR1" "S. cerevisiae" "Repressor of Drug Resistance" "1641" "YOR380W" "S000005907" "ORF"
"YDR381W" "MATCH" "1" "YRA1" "S. cerevisiae" "Yeast RNA Annealing protein" "1447" "YDR381W" "S000002789" "ORF"
"YPR006C" "MATCH" "1" "ICL2" "S. cerevisiae" "IsoCitrate Lyase" "1728" "YPR006C" "S000006210" "ORF"
"YNL098C" "MATCH" "1" "RAS2" "S. cerevisiae" "homologous to RAS proto-oncogene" "969" "YNL098C" "S000005042" "ORF"
"YMR218C" "MATCH" "1" "TRS130" "S. cerevisiae" "TRapp Subunit" "3309" "YMR218C" "S000004831" "ORF"
"YJL160C" "MATCH" "1" "PIR5" "S. cerevisiae" "Protein with Internal Repeats" "864" "YJL160C" "S000003696" "ORF"
"YLR023C" "MATCH" "1" "IZH3" "S. cerevisiae" "Implicated in Zinc Homeostasis" "1632" "YLR023C" "S000004013" "ORF"
"YHL006C" "MATCH" "1" "SHU1" "S. cerevisiae" "Suppressor of HU sensitivity" "453" "YHL006C" "S000000998" "ORF"
"YER002W" "MATCH" "1" "NOP16" "S. cerevisiae" "NucleOlar Protein" "696" "YER002W" "S000000804" "ORF"
"YKL043W" "MATCH" "1" "PHD1" "S. cerevisiae" "PseudoHyphal Determinant" "1101" "YKL043W" "S000001526" "ORF"
"YGL077C" "MATCH" "1" "HNM1" "S. cerevisiae" "Hyper-resistance to Nitrogen Mustard" "1692" "YGL077C" "S000003045" "ORF"
"YPL213W" "MATCH" "1" "LEA1" "S. cerevisiae" "Looks Exceptionally like U2A" "717" "YPL213W" "S000006134" "ORF"
"YBR227C" "MATCH" "1" "MCX1" "S. cerevisiae" "Mitochondrial ClpX" "1563" "YBR227C" "S000000431" "ORF"
"YDL022W" "MATCH" "1" "GPD1" "S. cerevisiae" "Glycerol-3-Phosphate Dehydrogenase" "1176" "YDL022W" "S000002180" "ORF"
"YER003C" "MATCH" "1" "PMI40" "S. cerevisiae" "PhosphoMannose Isomerase" "1383" "YER003C" "S000000805" "ORF"
"YOL159C" "MATCH" "1" "CSS3" "S. cerevisiae" "Condition Specific Secretion" "516" "YOL159C" "S000005519" "ORF"
"YDL155W" "MATCH" "1" "CLB3" "S. cerevisiae" "CycLin B" "1284" "YDL155W" "S000002314" "ORF"
"YDR251W" "MATCH" "1" "PAM1" "S. cerevisiae" "Pp2A Multicopy suppressor" "2493" "YDR251W" "S000002659" "ORF"
"YPR138C" "MATCH" "1" "MEP3" "S. cerevisiae" "" "1470" "YPR138C" "S000006342" "ORF"
"YLR460C" "MATCH" "1" "" "S. cerevisiae" "" "1131" "YLR460C" "S000004452" "ORF"
"YOR076C" "MATCH" "1" "SKI7" "S. cerevisiae" "SuperKIller" "2244" "YOR076C" "S000005602" "ORF"
"YLR024C" "MATCH" "1" "UBR2" "S. cerevisiae" "" "5619" "YLR024C" "S000004014" "ORF"
"YNL097C" "MATCH" "1" "PHO23" "S. cerevisiae" "PHOsphate metabolism" "993" "YNL097C" "S000005041" "ORF"
"YKL178C" "MATCH" "1" "STE3" "S. cerevisiae" "STErile" "1413" "YKL178C" "S000001661" "ORF"
"YGL076C" "MATCH" "1" "RPL7A" "S. cerevisiae" "Ribosomal Protein of the Large subunit" "1662" "YGL076C" "S000003044" "ORF"
"YDL157C" "MATCH" "1" "" "S. cerevisiae" "" "357" "YDL157C" "S000002316" "ORF"
"YDL024C" "MATCH" "1" "DIA3" "S. cerevisiae" "Digs Into Agar" "1407" "YDL024C" "S000002182" "ORF"
"YHL004W" "MATCH" "1" "MRP4" "S. cerevisiae" "Mitochondrial Ribosomal Protein" "1185" "YHL004W" "S000000996" "ORF"
"YER001W" "MATCH" "1" "MNN1" "S. cerevisiae" "MaNNosyltransferase" "2289" "YER001W" "S000000803" "ORF"
"YLR156W" "MATCH" "1" "" "S. cerevisiae" "" "345" "YLR156W" "S000004146" "ORF"
"YMR219W" "MATCH" "1" "ESC1" "S. cerevisiae" "Establishes Silent Chromatin" "4977" "YMR219W" "S000004832" "ORF"
"YDR384C" "MATCH" "1" "ATO3" "S. cerevisiae" "Ammonia (Ammonium) Transport Outward" "828" "YDR384C" "S000002792" "ORF"
"YHR039C-A" "MATCH" "1" "VMA10" "S. cerevisiae" "" "507" "YHR039C-A" "S000002100" "ORF"
"YLR289W" "MATCH" "1" "GUF1" "S. cerevisiae" "Gtpase of Unknown Function" "1938" "YLR289W" "S000004280" "ORF"
"YOR075W" "MATCH" "1" "UFE1" "S. cerevisiae" "Unknown Function Essential" "1041" "YOR075W" "S000005601" "ORF"
"YPL214C" "MATCH" "1" "THI6" "S. cerevisiae" "THIamine biosynthesis" "1623" "YPL214C" "S000006135" "ORF"
"YLR157C" "MATCH" "1" "ASP3-2" "S. cerevisiae" "ASParaginase" "1089" "YLR157C" "S000004147" "ORF"
"YOL027C" "MATCH" "1" "MDM38" "S. cerevisiae" "Mitochondrial Distribution and Morphology" "1722" "YOL027C" "S000005387" "ORF"
"YDL156W" "MATCH" "1" "CMR1" "S. cerevisiae" "Changed Mutation Rate" "1569" "YDL156W" "S000002315" "ORF"
"YNL274C" "MATCH" "1" "GOR1" "S. cerevisiae" "GlyOxylate Reductase" "1053" "YNL274C" "S000005218" "ORF"
"YKL220C" "MATCH" "1" "FRE2" "S. cerevisiae" "Ferric REductase" "2136" "YKL220C" "S000001703" "ORF"
"YHL008C" "MATCH" "1" "" "S. cerevisiae" "" "1884" "YHL008C" "S000001000" "ORF"
"YHR187W" "MATCH" "1" "IKI1" "S. cerevisiae" "Insensitive to KIller toxin" "930" "YHR187W" "S000001230" "ORF"
"YKR096W" "MATCH" "1" "ESL2" "S. cerevisiae" "EST/SMG-like" "3588" "YKR096W" "S000001804" "ORF"
"YGL120C" "MATCH" "1" "PRP43" "S. cerevisiae" "Pre-mRNA Processing" "2304" "YGL120C" "S000003088" "ORF"
"YNL273W" "MATCH" "1" "TOF1" "S. cerevisiae" "TOpoisomerase I-interacting Factor" "3717" "YNL273W" "S000005217" "ORF"
"YPL211W" "MATCH" "1" "NIP7" "S. cerevisiae" "Nuclear ImPort" "546" "YPL211W" "S000006132" "ORF"
"YOR252W" "MATCH" "1" "TMA16" "S. cerevisiae" "Translation Machinery Associated" "537" "YOR252W" "S000005778" "ORF"
"YPR008W" "MATCH" "1" "HAA1" "S. cerevisiae" "Homolog of Ace1 Activator" "2085" "YPR008W" "S000006212" "ORF"
"YOR385W" "MATCH" "1" "" "S. cerevisiae" "" "873" "YOR385W" "S000005912" "ORF"
"YHR188C" "MATCH" "1" "GPI16" "S. cerevisiae" "GlycosylPhosphatidylInositol anchor biosynthesis" "1833" "YHR188C" "S000001231" "ORF"
"YOL028C" "MATCH" "1" "YAP7" "S. cerevisiae" "Yeast AP-1" "738" "YOL028C" "S000005388" "ORF"
"YLR029C" "MATCH" "1" "RPL15A" "S. cerevisiae" "Ribosomal Protein of the Large subunit" "615" "YLR029C" "S000004019" "ORF"
"YAR033W" "MATCH" "1" "MST28" "S. cerevisiae" "Multicopy suppressor of Sec Twenty one" "705" "YAR033W" "S000000079" "ORF"
