Entry	Entry name	Status	Protein names	Gene names	Organism	Length
H2FLH5	H2FLH5_CAEEL	unreviewed	NeuReXin related	nrx-1 C29A12.4 CELE_C29A12.4	Caenorhabditis elegans	334
H8ESD4	H8ESD4_CAEEL	unreviewed	Na-K-Cl Cotransporter homolog	nkcc-1 CELE_Y37A1C.1 Y37A1C.1	Caenorhabditis elegans	1186
Q9N4W0	Q9N4W0_CAEEL	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein	srw-90 CELE_Y46H3C.3 Y46H3C.3	Caenorhabditis elegans	358
Q86GT6	Q86GT6_CAEEL	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein	ser-7 C09B7.1 CELE_C09B7.1	Caenorhabditis elegans	410
U4PE16	U4PE16_CAEEL	unreviewed	Catalase (EC 1.11.1.6)	ctl-3 CELE_Y54G11A.13 Y54G11A.13	Caenorhabditis elegans	493
A0A131MB12	A0A131MB12_CAEEL	unreviewed	Serine/threonine-protein kinase receptor (EC 2.7.11.30)	daf-4 C05D2.1 CELE_C05D2.1	Caenorhabditis elegans	723
C7IVS5	C7IVS5_CAEEL	unreviewed	HUN domain-containing protein	pqn-80 CELE_Y111B2A.14 Y111B2A.14	Caenorhabditis elegans	1416
A0A0S4XR74	A0A0S4XR74_CAEEL	unreviewed	Uncharacterized protein	CELE_T23F4.2 T23F4.2	Caenorhabditis elegans	138
H2KYY2	H2KYY2_CAEEL	unreviewed	Suppressor/Enhancer of Lin-12	sel-15 C24A1.3 CELE_C24A1.3	Caenorhabditis elegans	850
A0A2K5ATV6	A0A2K5ATV6_CAEEL	unreviewed	Uncharacterized protein (Fragment)	CELE_Y55B1BL.2 Y55B1BL.2	Caenorhabditis elegans	26
Q9BHM0	Q9BHM0_CAEEL	unreviewed	Protein kinase domain-containing protein	CELE_Y111B2A.1 Y111B2A.1	Caenorhabditis elegans	385
F1LIL8	F1LIL8_CAEEL	unreviewed	Uncharacterized protein	CELE_F31D5.6 F31D5.6	Caenorhabditis elegans	58
Q9TZ65	Q9TZ65_CAEEL	unreviewed	AAA domain-containing protein	CELE_F56F11.4 F56F11.4	Caenorhabditis elegans	411
Q8MXK1	Q8MXK1_CAEEL	unreviewed	Uncharacterized protein	CELE_F44E7.4 F44E7.4	Caenorhabditis elegans	1051
Q60F73	Q60F73_CAEEL	unreviewed	GRAM domain-containing protein	CELE_Y77E11A.12 Y77E11A.12	Caenorhabditis elegans	644
U4PAL0	U4PAL0_CAEEL	unreviewed	Uncharacterized protein	CELE_T09A12.8 T09A12.8	Caenorhabditis elegans	48
D1MN71	D1MN71_CAEEL	unreviewed	Uncharacterized protein	CELE_W09C2.10 W09C2.10	Caenorhabditis elegans	84
O76665	O76665_CAEEL	unreviewed	Dimer_Tnp_hAT domain-containing protein	B0545.4 CELE_B0545.4	Caenorhabditis elegans	117
H8ESF3	H8ESF3_CAEEL	unreviewed	SANT domain-containing protein	swsn-1 CELE_Y113G7B.23 Y113G7B.23	Caenorhabditis elegans	792
Q8IA55	Q8IA55_CAEEL	unreviewed	Uncharacterized protein	CELE_F25E5.8 F25E5.8	Caenorhabditis elegans	176
A0A1T5HUM6	A0A1T5HUM6_CAEEL	unreviewed	Innexin	unc-7 inx CELE_R07D5.1 R07D5.1	Caenorhabditis elegans	461
U4PQU2	U4PQU2_CAEEL	unreviewed	Uncharacterized protein	CELE_Y54G2A.76 Y54G2A.76	Caenorhabditis elegans	159
O45277	O45277_CAEEL	unreviewed	Uncharacterized protein	C30H6.5 CELE_C30H6.5	Caenorhabditis elegans	527
Q965V9	Q965V9_CAEEL	unreviewed	Ubiquitin carboxyl-terminal hydrolase (EC 3.4.19.12)	ubh-3 CELE_Y40G12A.1 Y40G12A.1	Caenorhabditis elegans	227
D6R8W6	D6R8W6_CAEEL	unreviewed	Uncharacterized protein	CELE_K06A4.2 K06A4.2	Caenorhabditis elegans	220
A0A0K3AS00	A0A0K3AS00_CAEEL	unreviewed	PHD-type domain-containing protein	phf-10 CELE_F33E11.6 F33E11.6	Caenorhabditis elegans	103
Q21295	Q21295_CAEEL	unreviewed	Nup54 domain-containing protein	npp-1 CELE_K07F5.13 K07F5.13	Caenorhabditis elegans	612
Q9NF22	Q9NF22_CAEEL	unreviewed	Uncharacterized protein	CELE_Y105E8A.2 Y105E8A.2	Caenorhabditis elegans	535
J7SF85	J7SF85_CAEEL	unreviewed	Serpentine Receptor, class H	srh-237 CELE_T05E12.7 T05E12.7	Caenorhabditis elegans	112
Q9U2S6	Q9U2S6_CAEEL	unreviewed	Peptidyl-prolyl cis-trans isomerase E (PPIase E) (EC 5.2.1.8)	cyn-13 CELE_Y116A8C.34 Y116A8C.34	Caenorhabditis elegans	331
H2KYU3	H2KYU3_CAEEL	unreviewed	Uncharacterized protein	CELE_T23B3.1 T23B3.1	Caenorhabditis elegans	388
H2KZZ6	H2KZZ6_CAEEL	unreviewed	Rab-GAP TBC domain-containing protein	tbc-11 CELE_F35H12.2 F35H12.2	Caenorhabditis elegans	934
Q2L6U6	Q2L6U6_CAEEL	unreviewed	Cytochrome b5 heme-binding domain-containing protein	CELE_D2023.1 D2023.1	Caenorhabditis elegans	103
U4PET2	U4PET2_CAEEL	unreviewed	Uncharacterized protein	CELE_Y67D8C.22 Y67D8C.22	Caenorhabditis elegans	66
D3YT96	D3YT96_CAEEL	unreviewed	Probable glutamine--tRNA ligase	qars-1 CELE_Y41E3.4 Y41E3.4	Caenorhabditis elegans	416
G3MTY6	G3MTY6_CAEEL	unreviewed	Uncharacterized protein	CELE_T28C6.11 T28C6.11	Caenorhabditis elegans	114
Q4PIW3	Q4PIW3_CAEEL	unreviewed	Uncharacterized protein	C25F6.8 CELE_C25F6.8	Caenorhabditis elegans	188
Q7JM28	Q7JM28_CAEEL	unreviewed	Uncharacterized protein	C53B4.4 CELE_C53B4.4	Caenorhabditis elegans	1360
H2KYD0	H2KYD0_CAEEL	unreviewed	KOG2701 domain-containing protein	C16A11.2 CELE_C16A11.2	Caenorhabditis elegans	570
O02136	O02136_CAEEL	unreviewed	Uncharacterized protein	C14A11.5 CELE_C14A11.5	Caenorhabditis elegans	450
Q067X8	Q067X8_CAEEL	unreviewed	LIPaSe related	lips-5 CELE_T12A7.4 T12A7.4	Caenorhabditis elegans	45
A0A486WWW4	A0A486WWW4_CAEEL	unreviewed	Uncharacterized protein	CELE_H12D21.9 H12D21.9	Caenorhabditis elegans	304
Q9U257	Q9U257_CAEEL	unreviewed	MLt-TeN (Mlt-10) related	mltn-2 CELE_Y52B11A.7 Y52B11A.7	Caenorhabditis elegans	512
A0A0K3AVI2	A0A0K3AVI2_CAEEL	unreviewed	Glycosyltransferase family 92 protein	CELE_F36F12.1 F36F12.1	Caenorhabditis elegans	85
Q9N5W8	Q9N5W8_CAEEL	unreviewed	F-box domain-containing protein	fbxa-47 C39B5.9 CELE_C39B5.9	Caenorhabditis elegans	309
Q3Y414	Q3Y414_CAEEL	unreviewed	MFS domain-containing protein	CELE_K05F1.6 K05F1.6	Caenorhabditis elegans	856
Q9XUY0	Q9XUY0_CAEEL	unreviewed	Uncharacterized protein	CELE_F56G4.6 F56G4.6	Caenorhabditis elegans	843
A0A0K3ATM0	A0A0K3ATM0_CAEEL	unreviewed	RRM domain-containing protein	unc-75 C17D12.2 CELE_C17D12.2	Caenorhabditis elegans	366
D5MCQ5	D5MCQ5_CAEEL	unreviewed	SUPpressor	sup-26 CELE_R10E4.2 R10E4.2	Caenorhabditis elegans	464
Q14V30	Q14V30_CAEEL	unreviewed	Uncharacterized protein	CELE_F22D6.8 F22D6.8	Caenorhabditis elegans	100
O16743	O16743_CAEEL	unreviewed	F-box domain-containing protein	fbxb-5 CELE_F45C12.14 F45C12.14	Caenorhabditis elegans	348
O16433	O16433_CAEEL	unreviewed	Serpentine Receptor, class H	srh-21 C02E7.2 CELE_C02E7.2	Caenorhabditis elegans	330
E9P841	E9P841_CAEEL	unreviewed	Uncharacterized protein	CELE_ZC262.7 ZC262.7	Caenorhabditis elegans	171
Q9N572	Q9N572_CAEEL	unreviewed	Nuclear Pore complex Protein	npp-26 CELE_Y17G9B.1 Y17G9B.1	Caenorhabditis elegans	480
G5EDZ5	G5EDZ5_CAEEL	unreviewed	Protein kinase domain-containing protein	unc-43 CELE_K11E8.1 K11E8.1	Caenorhabditis elegans	681
Q9XVG7	Q9XVG7_CAEEL	unreviewed	Uncharacterized protein	CELE_W02D9.10 W02D9.10	Caenorhabditis elegans	182
I2HAI3	I2HAI3_CAEEL	unreviewed	Uncharacterized protein	CELE_Y43F8B.29 Y43F8B.29	Caenorhabditis elegans	72
O62060	O62060_CAEEL	unreviewed	Seven TM Receptor	str-74 C14H10.4 CELE_C14H10.4	Caenorhabditis elegans	351
Q95XT1	Q95XT1_CAEEL	unreviewed	SUPpressor of Rpm-1	supr-1 CELE_Y71F9AR.3 Y71F9AR.3	Caenorhabditis elegans	746
Q0WKU3	Q0WKU3_CAEEL	unreviewed	Uncharacterized protein	CELE_H38K22.7 H38K22.7	Caenorhabditis elegans	106
A0A2C9C343	A0A2C9C343_CAEEL	unreviewed	Uncharacterized protein	CELE_H43E16.1 H43E16.1	Caenorhabditis elegans	929
Q22013	Q22013_CAEEL	unreviewed	Uncharacterized protein	CELE_R186.3 R186.3	Caenorhabditis elegans	240
O62138	O62138_CAEEL	unreviewed	Acyl-coenzyme A oxidase	acox-1.3 acox-3 CELE_F08A8.3 F08A8.3	Caenorhabditis elegans	660
P90926	P90926_CAEEL	unreviewed	Uncharacterized protein	CELE_K08F8.5 K08F8.5	Caenorhabditis elegans	363
Q9XXT8	Q9XXT8_CAEEL	unreviewed	Uncharacterized protein	CELE_Y6E2A.5 Y6E2A.5	Caenorhabditis elegans	447
P91076	P91076_CAEEL	unreviewed	Serpentine Receptor, class BC (Class B-like)	srbc-10 C18B10.2 CELE_C18B10.2	Caenorhabditis elegans	298
O44613	O44613_CAEEL	unreviewed	CaeNaCin (Caenorhabditis bacteriocin)	cnc-4 CELE_R09B5.9 R09B5.9	Caenorhabditis elegans	66
Q20955	Q20955_CAEEL	unreviewed	Uncharacterized protein	CELE_F57G12.1 F57G12.1	Caenorhabditis elegans	237
Q18997	Q18997_CAEEL	unreviewed	RING-CH-type domain-containing protein	marc-2 CELE_D2089.2 D2089.2	Caenorhabditis elegans	206
U4PN02	U4PN02_CAEEL	unreviewed	Uncharacterized protein	CELE_F56D6.23 F56D6.23	Caenorhabditis elegans	87
Q0MQ67	Q0MQ67_CAEEL	unreviewed	Uncharacterized protein	CELE_D2096.13 D2096.13	Caenorhabditis elegans	150
O76636	O76636_CAEEL	unreviewed	CRAL-TRIO domain-containing protein	CELE_H41C03.1 H41C03.1	Caenorhabditis elegans	396
A0A486WVE9	A0A486WVE9_CAEEL	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein	CELE_R13H7.2 R13H7.2	Caenorhabditis elegans	426
D1MN74	D1MN74_CAEEL	unreviewed	ARRestin Domain protein	arrd-6 CELE_F40F8.8 F40F8.8	Caenorhabditis elegans	469
Q629J2	Q629J2_CAEEL	unreviewed	Uncharacterized protein	C55C3.7 CELE_C55C3.7	Caenorhabditis elegans	297
Q22668	Q22668_CAEEL	unreviewed	Tyrosine-protein phosphatase	CELE_T22C1.8 T22C1.8	Caenorhabditis elegans	591
A0A0B7H3M6	A0A0B7H3M6_CAEEL	unreviewed	Serpentine Receptor, class I	sri-72 C14C6.11 CELE_C14C6.11	Caenorhabditis elegans	308
O44580	O44580_CAEEL	unreviewed	Uncharacterized protein	CELE_ZK697.1 ZK697.1	Caenorhabditis elegans	305
G5EDH2	G5EDH2_CAEEL	unreviewed	Uncharacterized protein	CELE_T11F9.12 T11F9.12	Caenorhabditis elegans	736
O44635	O44635_CAEEL	unreviewed	Nuclear Hormone Receptor family	nhr-178 CELE_F16B4.9 F16B4.9	Caenorhabditis elegans	421
Q22170	Q22170_CAEEL	unreviewed	L-type lectin-like domain-containing protein	ile-2 CELE_T04G9.3 T04G9.3	Caenorhabditis elegans	347
Q9TZQ1	Q9TZQ1_CAEEL	unreviewed	Tyrosine-protein phosphatase	CELE_F36H12.10 F36H12.10	Caenorhabditis elegans	398
A0A0K3AQN0	A0A0K3AQN0_CAEEL	unreviewed	DH domain-containing protein	CELE_Y105E8A.25 Y105E8A.25	Caenorhabditis elegans	1619
H2KZI9	H2KZI9_CAEEL	unreviewed	FYVE-type domain-containing protein	aka-1 CELE_D1022.7 D1022.7	Caenorhabditis elegans	1284
O02121	O02121_CAEEL	unreviewed	F-box B protein	fbxb-55 CELE_W03D2.2 W03D2.2	Caenorhabditis elegans	239
Q18976	Q18976_CAEEL	unreviewed	Protein kinase domain-containing protein	CELE_D2024.1 D2024.1	Caenorhabditis elegans	359
Q7JMA9	Q7JMA9_CAEEL	unreviewed	Suppressor of presenilin-2	spr-2 C27B7.1 CELE_C27B7.1	Caenorhabditis elegans	313
Q19833	Q19833_CAEEL	unreviewed	Uncharacterized protein	CELE_F26G1.1 F26G1.1	Caenorhabditis elegans	941
Q966H4	Q966H4_CAEEL	unreviewed	Nuclear Hormone Receptor family	nhr-99 CELE_M02H5.1 M02H5.1	Caenorhabditis elegans	418
O44772	O44772_CAEEL	unreviewed	Uncharacterized protein	CELE_K04F10.7 K04F10.7	Caenorhabditis elegans	293
S6FD25	S6FD25_CAEEL	unreviewed	Uncharacterized protein	CELE_Y47D7A.18 Y47D7A.18	Caenorhabditis elegans	242
Q8MXU0	Q8MXU0_CAEEL	unreviewed	Uncharacterized protein	CELE_Y4C6A.4 Y4C6A.4	Caenorhabditis elegans	98
O44462	O44462_CAEEL	unreviewed	Homeobox domain-containing protein	ceh-53 C09G12.1 CELE_C09G12.1	Caenorhabditis elegans	203
P91493	P91493_CAEEL	unreviewed	SyNapTotagmin	snt-4 CELE_T23H2.2 T23H2.2	Caenorhabditis elegans	381
S6FN11	S6FN11_CAEEL	unreviewed	BH4_AAA_HYDROXYL_2 domain-containing protein	cat-2 B0432.5 CELE_B0432.5	Caenorhabditis elegans	524
U4PBA8	U4PBA8_CAEEL	unreviewed	EGR (Early Growth factor Response factor) Homolog	egrh-2 CELE_Y55F3AM.7 Y55F3AM.7	Caenorhabditis elegans	294
Q21047	Q21047_CAEEL	unreviewed	Col_cuticle_N domain-containing protein	CELE_F59F5.4 F59F5.4	Caenorhabditis elegans	93
Q20005	Q20005_CAEEL	unreviewed	BAR domain-containing protein	CELE_F35A5.8 F35A5.8	Caenorhabditis elegans	366
Q23339	Q23339_CAEEL	unreviewed	Serpentine Receptor, class BC (Class B-like)	srbc-44 CELE_ZC455.9 ZC455.9	Caenorhabditis elegans	297
Q9XWX0	Q9XWX0_CAEEL	unreviewed	Uncharacterized protein	CELE_Y43F8B.12 Y43F8B.12	Caenorhabditis elegans	167
A0A3P6NPB0	A0A3P6NPB0_CAEEL	unreviewed	Uncharacterized protein	CELE_T07H8.11 T07H8.11	Caenorhabditis elegans	121
Q7YX76	Q7YX76_CAEEL	unreviewed	Uncharacterized protein	C31C9.7 CELE_C31C9.7	Caenorhabditis elegans	46
P90733	P90733_CAEEL	unreviewed	C-type lectin domain-containing protein	clec-225 B0365.5 CELE_B0365.5	Caenorhabditis elegans	155
W6RQY9	W6RQY9_CAEEL	unreviewed	INTegrator complex Subunit homolog	ints-3 CELE_Y92H12A.4 Y92H12A.4	Caenorhabditis elegans	1052
O62156	O62156_CAEEL	unreviewed	CW domain-containing protein	clec-252 CELE_F11D11.7 F11D11.7	Caenorhabditis elegans	244
Q18010	Q18010_CAEEL	unreviewed	Uncharacterized protein	C15C7.4 CELE_C15C7.4	Caenorhabditis elegans	211
A0A2C9C2V9	A0A2C9C2V9_CAEEL	unreviewed	Uncharacterized protein	CELE_M01H9.10 M01H9.10	Caenorhabditis elegans	107
O45856	O45856_CAEEL	unreviewed	Uncharacterized protein	CELE_T27E7.5 T27E7.5	Caenorhabditis elegans	277
Q4R156	Q4R156_CAEEL	unreviewed	Uncharacterized protein	CELE_Y55F3C.9 Y55F3C.9	Caenorhabditis elegans	732
A0A5E4M2E1	A0A5E4M2E1_CAEEL	unreviewed	ImmunoGlobulin-like Cell adhesion Molecule family	igcm-2 CELE_SSSD1.1 SSSD1.1	Caenorhabditis elegans	783
O17208	O17208_CAEEL	unreviewed	SAND domain-containing protein	gmeb-1 C01B12.2 CELE_C01B12.2	Caenorhabditis elegans	374
O61909	O61909_CAEEL	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein	srw-143 CELE_H27D07.3 H27D07.3	Caenorhabditis elegans	368
Q966Q1	Q966Q1_CAEEL	unreviewed	Uncharacterized protein	C36B7.4 CELE_C36B7.4	Caenorhabditis elegans	218
O61800	O61800_CAEEL	unreviewed	F-box domain-containing protein	fbxa-120 C33E10.2 CELE_C33E10.2	Caenorhabditis elegans	305
Q94286	Q94286_CAEEL	unreviewed	F-box C protein	fbxc-47 CELE_M02B7.1 M02B7.1	Caenorhabditis elegans	305
P90931	P90931_CAEEL	unreviewed	Uncharacterized protein	CELE_M04C9.2 M04C9.2	Caenorhabditis elegans	248
Q2V4S8	Q2V4S8_CAEEL	unreviewed	Uncharacterized protein	CELE_F59A6.11 F59A6.11	Caenorhabditis elegans	178
I2FLU3	I2FLU3_CAEEL	unreviewed	Protein containing ALS2cr12 (ALS2CR12) signature	pals-10 C17H1.11 CELE_C17H1.11	Caenorhabditis elegans	73
Q9U201	Q9U201_CAEEL	unreviewed	C-type lectin domain-containing protein	clec-260 CELE_Y60A3A.2 Y60A3A.2	Caenorhabditis elegans	242
A8WI10	A8WI10_CAEEL	unreviewed	Uncharacterized protein	C14A6.13 CELE_C14A6.13	Caenorhabditis elegans	231
O17767	O17767_CAEEL	unreviewed	Uncharacterized protein	CELE_F01G10.9 F01G10.9	Caenorhabditis elegans	451
F9UKU9	F9UKU9_CAEEL	unreviewed	Uncharacterized protein	CELE_Y113G7A.22 Y113G7A.22	Caenorhabditis elegans	30
Q19730	Q19730_CAEEL	unreviewed	GLYcosylation related	gly-18 CELE_F22D6.11 F22D6.11	Caenorhabditis elegans	440
Q9GUD1	Q9GUD1_CAEEL	unreviewed	Seven TM Receptor	str-196 CELE_T01G6.3 T01G6.3	Caenorhabditis elegans	357
O62185	O62185_CAEEL	unreviewed	PWI domain-containing protein	rsr-1 CELE_F28D9.1 F28D9.1	Caenorhabditis elegans	601
Q9U2I6	Q9U2I6_CAEEL	unreviewed	Uncharacterized protein	CELE_Y41C4A.6 Y41C4A.6	Caenorhabditis elegans	148
Q8T3B0	Q8T3B0_CAEEL	unreviewed	Homolog of Odr-2 (Two)	hot-3 CELE_W02B8.5 W02B8.5	Caenorhabditis elegans	196
G5EE15	G5EE15_CAEEL	unreviewed	Purple acid phosphatase (EC 3.1.3.2)	CELE_H25K10.1 H25K10.1	Caenorhabditis elegans	416
Q9N4D0	Q9N4D0_CAEEL	unreviewed	Uncharacterized protein	CELE_Y75D11A.3 Y75D11A.3	Caenorhabditis elegans	180
Q9XWD5	Q9XWD5_CAEEL	unreviewed	Eukaryotic Initiation Factor	eif-2bbeta eif-2Bbeta CELE_Y47H9C.7 Y47H9C.7	Caenorhabditis elegans	340
Q9TYS1	Q9TYS1_CAEEL	unreviewed	Uncharacterized protein	CELE_D1037.1 D1037.1	Caenorhabditis elegans	786
G4S102	G4S102_CAEEL	unreviewed	Uncharacterized protein	CELE_F02E11.2 F02E11.2	Caenorhabditis elegans	93
Q18849	Q18849_CAEEL	unreviewed	Uncharacterized protein	C54G4.4 CELE_C54G4.4	Caenorhabditis elegans	868
O02315	O02315_CAEEL	unreviewed	GLYcosylation related	gly-17 CELE_T15D6.3 T15D6.3	Caenorhabditis elegans	391
O46007	O46007_CAEEL	unreviewed	Uncharacterized protein	CELE_ZK228.1 ZK228.1	Caenorhabditis elegans	754
Q9XX27	Q9XX27_CAEEL	unreviewed	Uncharacterized protein	CELE_Y39A1A.9 Y39A1A.9	Caenorhabditis elegans	465
O17766	O17766_CAEEL	unreviewed	Lipase	lipl-7 CELE_F01G10.7 F01G10.7	Caenorhabditis elegans	409
Q19467	Q19467_CAEEL	unreviewed	GIT1 (Mammalian G protein-coupled receptor kinase InTeractor 1) homolog	git-1 CELE_F14F3.2 F14F3.2	Caenorhabditis elegans	670
O01581	O01581_CAEEL	unreviewed	Uncharacterized protein	CELE_K08B12.3 K08B12.3	Caenorhabditis elegans	257
Q7JKB9	Q7JKB9_CAEEL	unreviewed	Uncharacterized protein	CELE_H01G02.3 H01G02.3	Caenorhabditis elegans	208
O16240	O16240_CAEEL	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein	srsx-13 C13D9.6 CELE_C13D9.6	Caenorhabditis elegans	291
Q7YX13	Q7YX13_CAEEL	unreviewed	Uncharacterized protein	CELE_F58G6.8 F58G6.8	Caenorhabditis elegans	198
Q19199	Q19199_CAEEL	unreviewed	Uncharacterized protein	CELE_F08C6.5 F08C6.5	Caenorhabditis elegans	192
C6KRN4	C6KRN4_CAEEL	unreviewed	Uncharacterized protein	CELE_D1086.11 D1086.11	Caenorhabditis elegans	207
D7SFQ2	D7SFQ2_CAEEL	unreviewed	Uncharacterized protein	CELE_W04A8.6 W04A8.6	Caenorhabditis elegans	509
H2KYT9	H2KYT9_CAEEL	unreviewed	Acyl CoA DeHydrogenase	acdh-2 C17C3.12 CELE_C17C3.12	Caenorhabditis elegans	308
Q19613	Q19613_CAEEL	unreviewed	Uncharacterized protein	CELE_F20A1.8 F20A1.8	Caenorhabditis elegans	106
Q9U1Y6	Q9U1Y6_CAEEL	unreviewed	DeHydrogenases, Short chain	dhs-24 CELE_Y60A3A.10 Y60A3A.10	Caenorhabditis elegans	384
P91002	P91002_CAEEL	unreviewed	Downstream Of DAF-16 (Regulated by DAF-16)	dod-20 B0554.6 CELE_B0554.6	Caenorhabditis elegans	382
Q9N418	Q9N418_CAEEL	unreviewed	Nuclear receptor domain-containing protein	nhr-236 CELE_Y38F2AL.5 Y38F2AL.5	Caenorhabditis elegans	283
Q7JLR4	Q7JLR4_CAEEL	unreviewed	Uncharacterized protein	CELE_F08G5.3 F08G5.3	Caenorhabditis elegans	187
O44751	O44751_CAEEL	unreviewed	Protein kinase domain-containing protein	CELE_W03G9.5 W03G9.5	Caenorhabditis elegans	488
O18693	O18693_CAEEL	unreviewed	Fatty Acid CoA Synthetase family	acs-2 CELE_F28F8.2 F28F8.2	Caenorhabditis elegans	618
Q9XX67	Q9XX67_CAEEL	unreviewed	Uncharacterized protein	CELE_Y102A5C.27 Y102A5C.27	Caenorhabditis elegans	120
G4S142	G4S142_CAEEL	unreviewed	Uncharacterized protein	C17G10.10 CELE_C17G10.10	Caenorhabditis elegans	149
J7RNI7	J7RNI7_CAEEL	unreviewed	SGS domain-containing protein	CELE_D1054.3 D1054.3	Caenorhabditis elegans	56
O17520	O17520_CAEEL	unreviewed	Serpentine Receptor, class H	srh-192 CELE_ZC132.7 ZC132.7	Caenorhabditis elegans	343
Q19983	Q19983_CAEEL	unreviewed	Tetraspanin	tsp-8 CELE_F33C8.3 F33C8.3	Caenorhabditis elegans	282
Q18943	Q18943_CAEEL	unreviewed	Uncharacterized protein	CELE_D1054.10 D1054.10	Caenorhabditis elegans	188
A0A0S4XR30	A0A0S4XR30_CAEEL	unreviewed	FBA_2 domain-containing protein	CELE_M01D1.12 M01D1.12	Caenorhabditis elegans	251
Q9XWZ0	Q9XWZ0_CAEEL	unreviewed	Uncharacterized protein	CELE_Y45F3A.8 Y45F3A.8	Caenorhabditis elegans	404
Q21698	Q21698_CAEEL	unreviewed	Uncharacterized protein	CELE_R04B3.3 R04B3.3	Caenorhabditis elegans	546
C4RVF6	C4RVF6_CAEEL	unreviewed	Galectin	CELE_F46A8.8 F46A8.8	Caenorhabditis elegans	236
Q9XXJ3	Q9XXJ3_CAEEL	unreviewed	Neuropeptide-Like Protein	nlp-53 CELE_Y12A6A.2 Y12A6A.2	Caenorhabditis elegans	75
A0A078BS51	A0A078BS51_CAEEL	unreviewed	BED-type domain-containing protein	CELE_Y105C5A.15 Y105C5A.15	Caenorhabditis elegans	859
A0A061AD52	A0A061AD52_CAEEL	unreviewed	C-type lectin domain-containing protein	C25G4.17 CELE_C25G4.17	Caenorhabditis elegans	185
Q2AAC5	Q2AAC5_CAEEL	unreviewed	Uncharacterized protein	CELE_F49H12.7 F49H12.7	Caenorhabditis elegans	150
O45665	O45665_CAEEL	unreviewed	Uncharacterized protein	CELE_K10C3.4 K10C3.4	Caenorhabditis elegans	370
O01758	O01758_CAEEL	unreviewed	DeHydrogenases, Short chain	dhs-2 CELE_F55A12.4 F55A12.4	Caenorhabditis elegans	368
O45236	O45236_CAEEL	unreviewed	Uncharacterized protein	C01G12.5 CELE_C01G12.5	Caenorhabditis elegans	279
Q23035	Q23035_CAEEL	unreviewed	Serpentine receptor class gamma	srg-25 CELE_T09D3.5 T09D3.5	Caenorhabditis elegans	366
Q965Q5	Q965Q5_CAEEL	unreviewed	Uncharacterized protein	CELE_Y22D7AL.7 Y22D7AL.7	Caenorhabditis elegans	385
Q9U1R5	Q9U1R5_CAEEL	unreviewed	CYtochrome P450 family	cyp-42a1 cyp-42A1 CELE_Y80D3A.5 Y80D3A.5	Caenorhabditis elegans	511
O17065	O17065_CAEEL	unreviewed	Uncharacterized protein	CELE_F23F1.4 F23F1.4	Caenorhabditis elegans	347
Q19792	Q19792_CAEEL	unreviewed	Uncharacterized protein	CELE_F26A1.6 F26A1.6	Caenorhabditis elegans	252
H2FLI3	H2FLI3_CAEEL	unreviewed	Uncharacterized protein	C30G7.2 CELE_C30G7.2	Caenorhabditis elegans	186
A0A168H505	A0A168H505_CAEEL	unreviewed	Negative Effect on Gut development	neg-1 CELE_F32D1.6 F32D1.6	Caenorhabditis elegans	103
P91547	P91547_CAEEL	unreviewed	DUX (Vertebrate dual homeobox) Like	duxl-1 CELE_ZC204.2 ZC204.2	Caenorhabditis elegans	430
Q95PZ6	Q95PZ6_CAEEL	unreviewed	Uncharacterized protein	CELE_Y66D12A.19 Y66D12A.19	Caenorhabditis elegans	457
A0A2C9C2R3	A0A2C9C2R3_CAEEL	unreviewed	Apple domain-containing protein	CELE_T05B9.2 T05B9.2	Caenorhabditis elegans	247
A0A131MBU5	A0A131MBU5_CAEEL	unreviewed	Seven TM Receptor	str-10 CELE_R03G8.5 R03G8.5	Caenorhabditis elegans	347
O44588	O44588_CAEEL	unreviewed	Phorbol-ester/DAG-type domain-containing protein	CELE_F48G7.9 F48G7.9	Caenorhabditis elegans	125
Q23033	Q23033_CAEEL	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein	npr-24 CELE_R106.2 R106.2	Caenorhabditis elegans	373
Q21015	Q21015_CAEEL	unreviewed	EGF-like domain-containing protein	CELE_F58H1.6 F58H1.6	Caenorhabditis elegans	273
O61706	O61706_CAEEL	unreviewed	Uncharacterized protein	CELE_R119.5 R119.5	Caenorhabditis elegans	599
Q18089	Q18089_CAEEL	unreviewed	Uncharacterized protein	C18E9.9 CELE_C18E9.9	Caenorhabditis elegans	159
Q564Q7	Q564Q7_CAEEL	unreviewed	Uncharacterized protein	CELE_T13F3.8 T13F3.8	Caenorhabditis elegans	212
Q19249	Q19249_CAEEL	unreviewed	Uncharacterized protein	CELE_F09E10.6 F09E10.6	Caenorhabditis elegans	120
O45720	O45720_CAEEL	unreviewed	Uncharacterized protein	CELE_R12G8.1 R12G8.1	Caenorhabditis elegans	164
Q19118	Q19118_CAEEL	unreviewed	Uncharacterized protein	CELE_F02D8.1 F02D8.1	Caenorhabditis elegans	175
B3CJ52	B3CJ52_CAEEL	unreviewed	Uncharacterized protein	CELE_Y11D7A.19 Y11D7A.19	Caenorhabditis elegans	161
